#node1,node2,node1_string_internal_id,node2_string_internal_id,node1_external_id,node2_external_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,prediction,combined_score
PSMC6,EIF3D,1860306,1842561,9606.ENSP00000401802,9606.ENSP00000216190,0,0,0,0,0.14,0,0,0.561,0,0.606
GRB2,IQGAP1,1852164,1846003,9606.ENSP00000339007,9606.ENSP00000268182,0,0,0,0,0,0.452,0,0.309,0,0.605
NEDD8,SIRT1,1844012,1842473,9606.ENSP00000250495,9606.ENSP00000212015,0,0,0,0,0,0.566,0,0.126,0,0.604
PSMA7,NEDD8,1855365,1844012,9606.ENSP00000359910,9606.ENSP00000250495,0,0,0,0,0.114,0.571,0,0,0,0.604
SHC1,CDC42,1860266,1849707,9606.ENSP00000401303,9606.ENSP00000314458,0,0,0,0,0,0,0,0.604,0,0.604
EIF3M,RPS4X,1862022,1855955,9606.ENSP00000436049,9606.ENSP00000362744,0,0,0,0,0.604,0,0,0,0,0.604
PSMA7,PPP3R1,1855365,1843394,9606.ENSP00000359910,9606.ENSP00000234310,0,0,0,0,0,0.576,0,0.106,0,0.604
PSMC5,NEDD8,1849313,1844012,9606.ENSP00000310572,9606.ENSP00000250495,0,0,0,0,0.07,0.455,0,0.279,0,0.603
PSMD2,RPS11,1849263,1846167,9606.ENSP00000310129,9606.ENSP00000270625,0,0,0,0,0,0.603,0,0,0,0.603
MDM2,PTK2,1861282,1852426,9606.ENSP00000417281,9606.ENSP00000341189,0,0,0,0,0,0.564,0,0.126,0,0.602
PTK2,TSC1,1852426,1847972,9606.ENSP00000341189,9606.ENSP00000298552,0,0,0,0,0,0.576,0,0.1,0,0.602
RPS11,PSMD7,1846167,1842741,9606.ENSP00000270625,9606.ENSP00000219313,0,0,0,0,0.09,0.581,0,0,0,0.602
EIF3F,PSMD6,1849251,1847640,9606.ENSP00000310040,9606.ENSP00000295901,0,0,0,0,0.227,0.433,0,0.164,0,0.601
RPS6,INSR,1857216,1848574,9606.ENSP00000369757,9606.ENSP00000303830,0,0,0,0,0,0,0,0.601,0,0.601
CDKN2A,RPS7,1859838,1852173,9606.ENSP00000394932,9606.ENSP00000339095,0,0,0,0,0,0.573,0,0.104,0,0.601
FBXW7,CDK6,1846740,1845799,9606.ENSP00000281708,9606.ENSP00000265734,0,0,0,0,0,0.272,0,0.475,0,0.601
GRB2,HSP90AA1,1852164,1851814,9606.ENSP00000339007,9606.ENSP00000335153,0,0,0,0,0,0.369,0,0.393,0,0.6
PSMD6,RPS11,1847640,1846167,9606.ENSP00000295901,9606.ENSP00000270625,0,0,0,0,0,0.6,0,0,0,0.6
ACTR3,CDH1,1845311,1844988,9606.ENSP00000263238,9606.ENSP00000261769,0,0,0,0,0,0.576,0,0.089,0,0.597
SRC,BIRC5,1853652,1848314,9606.ENSP00000350941,9606.ENSP00000301633,0,0,0,0,0,0,0,0.597,0,0.597
RB1,PSMC4,1845924,1842267,9606.ENSP00000267163,9606.ENSP00000157812,0,0,0,0,0,0.576,0,0.089,0,0.597
TSC1,AXIN1,1847972,1845118,9606.ENSP00000298552,9606.ENSP00000262320,0,0,0,0,0,0.567,0,0.109,0,0.597
FKBP1A,EIF4G1,1857423,1852064,9606.ENSP00000371138,9606.ENSP00000338020,0,0,0,0,0,0,0,0.596,0,0.596
RICTOR,EIF4G1,1853522,1852064,9606.ENSP00000349959,9606.ENSP00000338020,0,0,0,0,0,0,0,0.595,0,0.595
RHOA,TP53,1860210,1846083,9606.ENSP00000400175,9606.ENSP00000269305,0,0,0,0,0,0,0,0.595,0,0.595
ARPC2,CDH1,1847604,1844988,9606.ENSP00000295685,9606.ENSP00000261769,0,0,0,0,0,0.576,0,0.084,0,0.595
FOXO1,CDK4,1857055,1844551,9606.ENSP00000368880,9606.ENSP00000257904,0,0,0,0,0,0.206,0,0.511,0,0.595
RPS11,NEDD8,1846167,1844012,9606.ENSP00000270625,9606.ENSP00000250495,0,0,0,0,0.14,0.549,0,0,0,0.595
JUN,BIRC5,1855436,1848314,9606.ENSP00000360266,9606.ENSP00000301633,0,0,0,0,0,0,0,0.595,0,0.595
PCNA,CDC20,1856984,1849070,9606.ENSP00000368438,9606.ENSP00000308450,0,0,0,0,0.165,0,0,0.534,0,0.594
CDK6,SKP1,1845799,1843292,9606.ENSP00000265734,9606.ENSP00000231487,0,0,0,0,0.067,0,0,0.582,0,0.594
RHOA,CCND1,1860210,1843117,9606.ENSP00000400175,9606.ENSP00000227507,0,0,0,0,0,0.074,0,0.58,0,0.594
FOXO3,CDK4,1852227,1844551,9606.ENSP00000339527,9606.ENSP00000257904,0,0,0,0,0,0.206,0,0.51,0,0.594
MTOR,RPS16,1854147,1844060,9606.ENSP00000354558,9606.ENSP00000251453,0,0,0,0,0,0.575,0,0.082,0,0.593
CDH1,CDKN1A,1844988,1843736,9606.ENSP00000261769,9606.ENSP00000244741,0,0,0,0,0,0,0,0.592,0,0.593
RPS11,PSMA3,1846167,1842599,9606.ENSP00000270625,9606.ENSP00000216455,0,0,0,0,0.073,0.578,0,0,0,0.592
EIF3F,PSMB4,1849251,1847239,9606.ENSP00000310040,9606.ENSP00000290541,0,0,0,0,0.242,0.436,0,0.124,0,0.592
STAT3,RPS6KB1,1845584,1843035,9606.ENSP00000264657,9606.ENSP00000225577,0,0,0,0,0,0,0,0.591,0,0.591
PSMC5,RPS11,1849313,1846167,9606.ENSP00000310572,9606.ENSP00000270625,0,0,0,0,0,0.587,0,0.052,0,0.591
USP14,PPP3R1,1844948,1843394,9606.ENSP00000261601,9606.ENSP00000234310,0,0,0,0,0,0.591,0,0,0,0.591
EIF3F,PSMD3,1849251,1845579,9606.ENSP00000310040,9606.ENSP00000264639,0,0,0,0,0.174,0.433,0,0.196,0,0.59
CCND3,EIF3G,1855798,1844198,9606.ENSP00000362082,9606.ENSP00000253108,0,0,0,0,0,0,0,0.59,0,0.59
TCF7L2,CDKN2A,1862284,1859838,9606.ENSP00000444972,9606.ENSP00000394932,0,0,0,0,0,0,0,0.59,0,0.59
EIF4E,CCND3,1861659,1855798,9606.ENSP00000425561,9606.ENSP00000362082,0,0,0,0,0,0,0,0.589,0,0.589
RPS3A,HSP90AB1,1853009,1850780,9606.ENSP00000346050,9606.ENSP00000325875,0,0,0,0,0.157,0.098,0,0.503,0,0.589
RPS2,NEDD8,1852518,1844012,9606.ENSP00000341885,9606.ENSP00000250495,0,0,0,0,0.143,0.525,0,0.071,0,0.589
PSMD4,CCNA2,1854905,1846354,9606.ENSP00000357879,9606.ENSP00000274026,0,0,0,0,0,0.588,0,0.043,0,0.589
CUL4A,RPTOR,1856298,1848942,9606.ENSP00000364589,9606.ENSP00000307272,0,0,0,0,0,0.571,0,0.081,0,0.588
FAU,PSMB2,1861888,1855861,9606.ENSP00000431822,9606.ENSP00000362334,0,0,0,0,0.112,0.459,0,0.212,0,0.588
